%time,field.topic,field.node_pub,field.node_sub,field.window_start,field.window_stop,field.delivered_msgs,field.dropped_msgs,field.traffic,field.period_mean,field.period_stddev,field.period_max,field.stamp_age_mean,field.stamp_age_stddev,field.stamp_age_max
1576484410194390152,/topic_c,/thread_node,/reciever_node,1576484408694114996,1576484410194033971,3,0,0,499982257,8999,499991256,0,0,0
1576484410388953341,/topic_a,/thread_node,/reciever_node,1576484409388554391,1576484410388660021,10,0,0,100009004,228924,100567072,0,0,0
1576484410490220603,/rosout,/reciever_node,/rosout,1576484409489054383,1576484410489785884,13,0,2470,75072428,40864938,100908321,567982,587122,2311191
1576484411194310812,/topic_c,/thread_node,/reciever_node,1576484410194033971,1576484411194040148,2,0,0,499757491,0,499757491,0,0,0
1576484411196603827,/topic_b,/thread_node,/reciever_node,1576484409196592929,1576484411196364776,2,0,0,1000001125,0,1000001125,0,0,0
1576484411488778249,/topic_a,/thread_node,/reciever_node,1576484410388660021,1576484411488516803,11,0,0,99974155,70371,100096760,0,0,0
1576484411589221608,/rosout,/reciever_node,/rosout,1576484410489785884,1576484411588916831,14,0,2660,76908710,39762463,100230869,315982,117888,648980
1576484412194335164,/topic_c,/thread_node,/reciever_node,1576484411194040148,1576484412194070124,2,0,0,499982296,0,499982296,0,0,0
1576484412196650626,/topic_b,/thread_node,/reciever_node,1576484411196364776,1576484412196407981,1,0,0,0,0,0,0,0,0
1576484412488914360,/topic_a,/thread_node,/reciever_node,1576484411488516803,1576484412488576772,10,0,0,100002266,127298,100268107,0,0,0
1576484412689562058,/rosout,/reciever_node,/rosout,1576484411588916831,1576484412689015574,14,0,2660,76908591,39797080,100110266,311220,150371,803763
1576484413588778946,/topic_a,/thread_node,/reciever_node,1576484412488576772,1576484413588531145,11,0,0,99996254,511174,101141674,0,0,0
1576484413694202203,/topic_c,/thread_node,/reciever_node,1576484412194070124,1576484413693986900,3,0,0,499971799,35365,500007164,0,0,0
1576484413695111378,/rosout,/reciever_node,/rosout,1576484412689015574,1576484413694420838,14,0,2660,76928522,39791141,100093615,259623,60987,413261
