%time,field.data
1572959711468183902,700
1572959711568038497,800
1572959711668996751,900
1572959711768009721,1000
1572959711868075100,1100
1572959711967923392,1200
1572959712068171431,1300
1572959712168076914,1400
1572959712268081825,1500
1572959712368173508,1600
1572959712467929094,1700
1572959712570004969,1800
1572959712668301369,1900
1572959712768113465,2000
1572959712868022906,2100
1572959712968060058,2200
1572959713067923458,2300
1572959713169857511,2400
1572959713268118079,2500
1572959713368191223,2600
1572959713468190928,2700
1572959713568521783,2800
1572959713668031326,2900
1572959713770472520,3000
1572959713868753818,3100
1572959713968400810,3200
1572959714068436298,3300
1572959714168266993,3400
1572959714268208522,3500
1572959714369631321,3600
1572959714468497107,3700
1572959714569405107,3800
1572959714668129694,3900
1572959714768215913,4000
1572959714867951502,4100
1572959714968131629,4200
1572959715068193734,4300
1572959715168260371,4400
1572959715268038880,4500
1572959715367955828,4600
1572959715467945172,4700
1572959715568222646,4800
1572959715668249231,4900
1572959715768103990,5000
1572959715868127033,5100
1572959715968004554,5200
1572959716068054734,5300
1572959716168119498,5400
1572959716268012073,5500
1572959716368042202,5600
1572959716470231056,5700
1572959716568408869,5800
1572959716668005086,5900
1572959716768244228,6000
1572959716868239095,6100
1572959716968101149,6200
1572959717068249093,6300
1572959717168199066,6400
1572959717268186384,6500
1572959717368205056,6600
1572959717468675505,6700
1572959717568117243,6800
1572959717667972945,6900
1572959717768044795,7000
1572959717867919715,7100
1572959717968195630,7200
1572959718068633424,7300
1572959718169510755,7400
1572959718268218059,7500
1572959718368212149,7600
1572959718468297439,7700
1572959718568032620,7800
1572959718668132858,7900
1572959718768124710,8000
1572959718868089477,8100
1572959718968021536,8200
1572959719068499592,8300
1572959719168187171,8400
1572959719268149180,8500
1572959719368200670,8600
1572959719469807023,8700
1572959719568316722,8800
1572959719667992946,8900
1572959719768058134,9000
1572959719868032851,9100
1572959719969170605,9200
1572959720068040049,9300
1572959720168277012,9400
1572959720268249544,9500
1572959720368303328,9600
1572959720468144712,9700
1572959720568267194,9800
1572959720667962588,9900
1572959720768015798,10000
1572959720868163541,10100
1572959720970088390,10200
1572959721070069257,10300
1572959721169587411,10400
1572959721268081072,10500
1572959721368977108,10600
1572959721468239477,10700
1572959721568516546,10800
1572959721668775491,10900
1572959721770221638,11000
1572959721869569164,11100
1572959721969730659,11200
1572959722068376928,11300
1572959722168445247,11400
1572959722268134707,11500
1572959722370953426,11601
1572959722469794594,11700
1572959722570087343,11800
1572959722668748040,11900
1572959722768144215,12000
1572959722868625039,12100
1572959722968089809,12200
1572959723068269797,12300
1572959723168046865,12400
1572959723268339876,12500
1572959723369496701,12600
1572959723468046513,12700
1572959723568100459,12800
1572959723668196645,12900
1572959723767947983,13000
1572959723868061982,13100
1572959723969622249,13200
1572959724068305658,13300
1572959724168316168,13400
1572959724268185218,13500
1572959724368631931,13600
1572959724469438910,13700
1572959724570201878,13800
1572959724668212778,13900
1572959724768019848,14000
1572959724869195998,14100
1572959724968103057,14200
1572959725068053255,14300
1572959725168221634,14400
1572959725268236469,14500
1572959725368440890,14600
1572959725467970302,14700
1572959725569958756,14800
1572959725669477908,14900
1572959725768235279,15000
1572959725869249345,15100
1572959725968178854,15200
1572959726068080564,15300
1572959726168211549,15400
1572959726268072269,15500
